x,y,z,category,size
28.8,-23.85,78.57,C,3
55.16,33.86,55.93,B,4
-80.1,-80.69,73.44,B,2
-51.61,-98.94,-89.61,A,1
12.74,-48.67,32.56,A,1
-64.83,-81.15,54.13,E,3
-49.02,2.57,-4.72,A,5
-16.08,30.84,44.6,E,1
88.46,3.35,-80.47,D,1
62.81,27.45,-11.16,B,2
-31.19,-4.74,-9.95,B,5
15.87,41.47,-19.02,E,1
15.95,31.68,99.13,E,2
26.68,21.48,-80.22,A,5
63.42,-27.04,92.77,D,2
-67.88,-65.65,11.61,E,4
24.11,-31.58,14.76,D,3
39.39,37.81,-31.65,E,4
-57.35,-7.05,-20.51,B,1
74.42,8.84,82.67,A,1
-48.87,-25.51,-88.11,A,2
4.21,61.9,61.4,D,4
54.37,0.77,60.04,A,2
89.7,23.13,99.52,E,5
46.86,70.55,45.14,A,5
85.23,36.11,-35.29,A,1
14.37,56.41,76.12,A,3
-17.18,-55.34,53.99,C,4
65.65,26.07,90.45,A,1
40.6,64.42,-0.57,B,1
90.99,54.97,-39.21,D,4
32.19,73.35,57.11,E,3
93.59,-39.08,-85.96,A,5
5.6,43.88,-73.24,A,4
-3.44,-52.0,63.03,D,4
-64.55,-20.93,-81.71,C,1
-75.47,-92.03,-77.14,C,2
26.68,28.0,51.03,C,2
3.16,-79.01,-87.58,B,3
-15.62,84.16,68.03,A,3
-1.9,-38.54,-47.06,B,2
-76.24,-91.9,10.13,C,2
-82.3,80.33,-38.7,D,5
19.99,-83.51,25.95,E,5
86.02,83.4,-59.99,B,2
-27.57,84.35,11.0,C,3
45.21,-53.48,-31.55,B,3
-1.9,68.71,91.53,C,3
93.45,76.7,-58.54,C,2
-1.17,-35.03,88.37,E,2
6.87,63.26,-55.04,B,3
-34.03,26.28,-22.63,D,5
-96.55,15.45,7.47,D,1
44.29,92.48,37.98,C,3
-58.95,-80.8,82.72,B,3
-21.98,-95.3,-48.71,D,1
12.83,-24.42,46.76,D,2
-97.83,21.9,-78.33,E,1
-88.13,-21.57,-35.49,A,2
68.38,75.82,-20.17,A,2
-46.36,80.72,-1.9,E,1
30.54,26.51,1.0,B,3
-36.88,82.37,-97.29,A,5
-46.07,-35.56,-52.02,E,1
-80.55,-15.24,27.84,E,4
41.61,92.67,-13.64,C,3
-56.55,-39.8,-14.87,A,4
-36.48,-21.94,-99.97,E,3
32.41,-45.43,-95.44,D,1
-7.16,25.78,19.83,B,5
-40.17,64.46,69.2,C,2
-71.28,-12.69,53.85,A,2
-55.56,73.39,-56.12,B,3
-31.55,54.34,-67.89,E,2
-34.95,54.79,7.36,B,2
37.04,-97.75,70.45,A,3
57.81,94.91,95.49,D,4
72.68,-54.99,-76.17,A,2
-6.42,77.16,-25.48,C,4
-2.18,74.44,33.14,E,4
-92.34,5.29,-77.83,C,4
-11.1,-78.57,-9.65,B,2
16.72,-58.86,-52.16,C,4
-56.73,-79.85,28.45,C,4
61.72,70.38,42.27,C,4
-74.25,18.57,-90.65,A,3
-9.74,98.46,63.13,D,3
30.93,-69.81,-27.88,E,5
48.58,65.31,-59.02,A,2
12.47,68.48,-78.25,E,1
89.85,72.17,-72.58,D,2
-83.3,5.8,0.86,B,4
25.87,-73.53,49.09,D,3
77.65,84.69,-96.85,C,2
-28.1,-32.81,52.36,B,4
-53.57,-72.55,72.58,C,2
53.05,-89.63,-37.38,A,5
-71.47,-41.21,-41.08,A,1
48.9,-62.33,74.58,A,4
64.7,13.15,76.57,E,2
82.95,-78.14,78.93,D,1
42.38,73.56,43.2,D,2
-8.66,22.46,56.81,C,1
81.31,91.21,35.03,D,3
58.4,-14.1,99.92,C,1
40.48,17.12,-76.71,E,2
72.59,-0.74,-72.02,D,1
80.51,-66.67,38.46,E,1
25.39,-70.64,9.35,E,2
14.45,51.34,-75.03,D,5
82.15,-57.0,37.3,D,4
12.68,-9.11,44.32,B,3
-24.96,-36.2,21.55,D,2
-4.33,-5.5,53.25,A,5
19.23,66.06,-98.59,A,1
-41.26,-67.79,-16.09,E,5
44.99,29.74,98.39,B,4
-43.12,6.6,-61.94,B,4
-30.24,-84.29,34.13,E,2
95.39,36.89,-80.13,E,1
4.16,62.12,-6.5,C,5
59.78,-7.79,77.7,C,5
59.09,35.51,-21.53,B,1
21.65,18.54,-6.54,A,2
71.99,55.58,-39.97,A,2
-5.26,61.46,-86.65,C,3
-38.97,-97.65,2.14,E,5
14.9,-11.12,-42.17,B,3
59.42,86.31,-58.25,B,4
85.59,-81.91,-0.48,C,4
-83.98,-31.62,10.89,A,5
32.81,-43.83,57.01,E,5
-45.0,77.9,-22.9,D,1
-76.31,-51.54,-76.31,C,4
-48.44,30.58,-48.86,C,2
-85.01,17.19,79.96,A,2
-80.7,-61.48,88.45,D,5
7.81,-74.48,78.64,E,5
-68.04,31.83,-18.46,C,4
72.39,-20.33,62.31,C,2
95.68,98.25,-42.85,C,1
-85.27,69.88,20.65,B,2
44.04,-76.4,-37.08,E,1
-1.12,68.19,92.62,C,1
59.76,52.59,-82.49,A,4
-53.86,-99.84,-58.84,E,3
-3.6,18.77,81.84,B,2
29.84,-63.68,-74.86,B,4
77.9,-63.43,-42.37,B,2
17.65,-65.63,1.35,B,1
60.41,-39.24,12.81,D,3
74.95,64.15,-87.09,E,5
33.65,-80.89,-71.97,E,3
-73.8,56.99,29.41,B,2
15.69,26.58,49.72,D,5
73.53,24.33,-97.7,E,2
60.76,38.92,57.83,B,5
42.0,95.7,-3.47,E,1
-55.04,-70.32,-87.99,B,3
-96.72,16.3,55.72,B,1
29.16,29.88,-66.85,B,2
32.86,-5.56,-58.84,C,5
86.37,79.89,47.55,B,4
82.34,55.13,-6.61,A,1
5.84,-75.19,20.11,C,3
10.95,29.63,-0.58,D,1
76.74,6.03,-88.87,C,4
1.93,3.0,-38.04,A,5
-91.65,73.81,-44.48,E,3
82.83,63.65,65.86,C,1
95.54,-0.12,-68.91,B,5
-94.83,45.13,71.71,D,1
33.52,-60.01,39.28,B,5
-94.09,56.7,-48.17,A,3
-61.39,39.36,-80.82,D,2
35.21,42.41,28.86,E,2
-30.91,-68.62,-9.1,E,4
-61.31,-92.01,44.17,A,4
-16.28,-83.57,-30.78,E,2
-3.4,41.52,-93.62,D,4
-60.13,35.8,52.55,B,3
-74.77,84.45,17.17,E,4
92.31,-16.41,61.97,C,2
44.11,-3.54,-38.38,D,2
31.6,-51.31,-28.46,A,2
-63.74,43.0,-22.28,C,5
-7.62,52.51,59.18,A,5
98.98,-47.33,0.51,E,5
-97.82,47.83,-66.15,A,1
-79.62,-80.7,-23.64,D,5
26.29,-24.99,66.26,E,2
49.92,-88.44,-0.07,A,1
11.34,-56.36,32.59,E,1
93.74,21.8,-79.59,A,5
-28.88,-46.53,73.11,B,5
20.54,23.03,-15.29,B,2
-43.9,-96.91,58.08,D,2
32.79,45.93,-65.97,B,5
33.45,-79.93,-54.75,D,1
94.58,-33.01,85.86,C,1
-83.82,-28.24,-97.81,B,3
34.69,-22.83,74.49,A,2
62.01,29.8,61.6,D,1
-63.72,7.64,47.6,A,4
-17.52,-6.91,-14.61,B,3
99.25,58.46,-73.51,A,4
-52.29,-38.4,-37.45,E,4
6.01,-57.36,-82.47,E,3
64.35,-48.55,-19.66,E,1
19.69,-33.81,82.62,D,3
98.65,21.2,14.06,D,5
99.7,-88.89,-44.9,A,3
-9.98,-3.32,52.4,C,1
37.69,40.61,-81.21,D,4
25.91,3.38,-22.27,E,3
-33.61,0.06,-97.56,A,2
-16.93,-95.45,83.94,E,3
-31.02,31.05,-74.36,A,4
-0.66,49.07,-77.19,C,1
-72.85,-80.03,-77.57,D,4
43.28,65.16,-68.85,E,3
-29.44,-32.99,62.62,A,3
57.96,34.13,-2.42,D,2
-70.04,32.06,-55.91,E,2
75.32,60.56,-79.44,E,4
-85.29,14.25,-61.97,C,1
-69.61,-80.61,69.89,E,5
-27.93,-82.57,-1.29,E,1
54.6,-97.97,50.78,A,3
97.33,-40.42,-40.45,D,3
90.78,1.2,21.82,E,4
17.66,11.09,45.37,E,1
84.16,42.92,60.19,D,3
43.47,-38.03,7.74,E,5
11.29,-85.51,-33.43,D,5
-16.36,45.96,28.67,A,5
-48.76,-95.73,5.97,B,4
16.68,92.44,-35.06,A,5
-3.11,4.51,9.02,A,4
3.67,-46.22,56.82,D,1
37.86,-25.46,91.22,B,2
-66.87,5.53,-76.01,B,1
-75.18,95.16,89.87,D,1
12.9,5.45,52.05,A,5
89.15,-85.48,-21.47,A,2
36.48,-75.02,70.01,E,5
-76.11,14.78,23.31,C,1
-79.18,25.5,73.85,D,3
66.03,56.3,-93.07,C,3
28.78,-42.19,-53.55,E,2
14.48,-76.26,75.2,D,2
-77.42,-0.57,-66.63,A,3
32.01,34.49,86.27,C,1
89.52,35.5,52.77,B,2
-2.7,0.33,57.91,C,4
55.29,-58.4,-60.98,B,3
49.87,-39.92,70.46,A,1
-18.77,-45.23,-35.93,A,2
73.75,13.34,27.27,D,5
-84.39,-36.92,-35.04,D,5
-63.13,-18.24,-18.02,C,4
-90.59,1.88,79.77,E,1
77.86,-69.04,-51.36,C,2
-38.78,65.39,-65.57,E,5
14.57,63.18,39.73,E,2
-30.48,-25.37,-70.07,A,1
60.13,46.51,-80.62,A,1
80.74,42.59,69.9,C,3
-38.95,45.27,2.82,C,4
75.51,84.71,-73.69,C,4
84.53,-5.33,65.37,C,5
16.3,-16.38,-73.75,B,1
66.68,-99.64,-12.34,A,1
-67.3,-82.12,-25.66,C,2
-39.37,91.95,-83.17,C,4
6.22,-2.98,-80.55,E,5
47.03,56.23,-80.81,C,3
-14.56,-62.67,53.17,B,1
-39.58,82.43,-93.23,D,4
-58.32,18.31,70.16,C,5
72.89,-22.45,-96.19,A,1
-43.13,34.33,-35.39,E,3
-90.5,-13.57,80.65,B,1
-81.92,61.19,59.53,B,2
-67.07,-4.3,69.3,A,3
-35.13,-71.06,-50.85,E,1
25.45,58.01,98.08,E,2
22.75,34.24,-72.84,E,5
-21.75,0.92,-37.49,A,5
76.34,5.14,-78.87,E,3
-72.38,-81.85,77.5,A,3
57.95,14.9,24.85,A,2
-28.62,23.45,-32.6,B,1
-9.06,-80.21,-55.71,A,2
-28.92,64.61,5.56,E,3
24.85,-79.42,73.31,B,1
35.32,-49.9,-40.41,A,5
13.54,-76.12,83.51,D,3
-62.8,-59.79,-94.15,D,5
75.24,-64.98,23.41,B,3
-52.66,-33.19,-89.98,B,3
-61.64,-82.23,49.7,B,4
54.1,-81.06,20.02,C,1
-81.76,-12.42,45.15,E,5
13.35,-4.49,63.17,B,5
93.49,-76.49,48.22,C,2
97.37,63.15,69.3,C,5
-22.92,-38.07,10.25,C,2
-51.41,81.26,81.27,D,1
80.07,-32.6,65.1,C,2
-26.56,-16.12,79.39,B,4
15.63,-91.11,-56.02,E,4
-29.29,-39.73,86.54,D,3
85.25,97.33,63.82,B,1
92.74,-88.94,4.98,E,4
-6.95,-61.55,69.43,B,5
57.57,-90.04,-59.21,A,5
-13.33,37.27,2.55,D,3
48.61,24.71,7.27,E,1
73.62,29.92,39.49,E,4
43.79,-58.89,48.85,C,5
66.91,-57.76,15.25,E,1
-96.22,-3.6,-82.88,D,2
15.32,20.29,57.16,A,3
8.99,37.03,-63.26,E,4
-33.44,96.95,61.67,D,2
62.57,-46.53,35.89,B,5
-92.98,36.51,93.04,D,1
-35.04,-95.19,-14.89,A,1
84.64,87.24,-42.52,C,3
-37.01,-66.79,57.19,E,1
-38.34,-38.92,90.23,A,2
39.4,50.49,-75.22,A,4
42.56,9.19,-44.15,C,4
-70.43,58.53,49.14,C,4
-27.94,-52.37,-97.43,E,1
-93.82,-14.14,60.7,B,1
47.18,-22.15,-17.77,E,5
28.34,-12.83,-48.29,C,5
-77.17,26.83,-15.46,E,2
-32.92,-24.49,48.99,C,2
88.34,3.37,-97.16,C,2
-60.29,29.56,20.9,A,2
19.38,-96.71,-7.74,D,3
24.2,38.15,5.75,B,4
-99.84,-33.9,75.88,B,2
-43.19,-32.71,17.87,D,1
79.54,32.78,96.2,A,5
70.14,-18.3,77.45,A,1
41.14,-21.58,-74.98,A,2
-66.83,-51.82,-77.76,A,3
33.94,-13.04,-44.48,D,2
28.69,-89.97,-77.82,B,2
64.51,85.22,-23.97,D,2
46.85,91.97,-43.5,E,1
90.25,39.89,45.47,E,4
-5.68,29.33,-87.82,C,4
-5.11,71.43,-77.17,E,1
1.91,27.31,86.61,B,3
8.68,-53.68,-23.0,E,4
58.03,97.94,-52.46,B,4
-90.37,20.5,2.68,B,5
61.98,-67.8,-87.34,B,4
5.32,13.28,40.14,E,1
73.82,58.0,-98.41,B,5
-60.67,-93.29,90.26,E,4
78.56,-86.19,80.03,D,3
83.34,32.58,85.02,E,3
-69.05,-70.61,98.54,B,1
-51.56,27.46,92.18,A,4
-20.83,60.15,-87.17,B,4
-92.7,38.09,0.47,D,5
-65.88,-5.33,-37.99,D,2
-54.8,39.26,52.16,D,4
99.19,91.22,79.51,A,2
67.26,-12.63,-32.57,C,5
71.43,-75.78,-11.15,D,2
-98.63,-51.65,-35.01,E,3
41.9,-48.69,2.74,A,4
35.56,-53.01,76.62,D,2
33.5,-0.56,54.32,E,2
7.42,-24.52,30.02,B,4
-23.91,34.72,-50.82,E,5
-88.96,7.08,80.76,D,4
-28.16,-37.83,-53.18,A,4
-29.18,39.65,28.39,E,2
-1.08,-86.1,70.07,C,5
-60.59,76.62,-76.18,A,4
-93.12,59.71,77.65,B,4
60.31,-82.22,-36.79,D,5
-19.09,17.15,-5.85,E,3
-84.19,96.63,-63.53,A,2
8.83,-34.22,48.99,B,1
-86.58,67.02,4.72,B,2
2.85,-78.63,-97.45,D,4
47.27,-31.31,-12.18,B,5
23.51,-97.67,-92.26,A,1
-98.28,70.9,13.18,C,5
17.29,-61.15,68.02,E,2
68.66,-81.82,-33.1,E,3
9.32,-34.25,-87.35,C,5
78.23,41.58,-29.3,E,3
-27.11,87.86,-68.17,B,5
-15.18,96.73,-60.79,B,4
-0.85,47.5,-99.92,D,2
47.94,-47.28,-65.58,B,2
44.76,-96.41,21.09,B,2
-97.72,-64.27,26.23,B,1
93.77,-1.23,-93.74,B,5
11.06,48.72,46.26,B,1
-21.49,83.34,87.87,D,4
52.78,16.97,-66.91,D,1
-15.59,36.62,22.37,A,2
83.31,-71.27,-46.42,D,2
-16.81,23.25,-15.61,C,5
27.5,-76.11,-43.52,D,3
-2.51,-82.76,13.58,B,5
51.75,95.29,-93.25,C,5
-55.32,90.35,-5.66,D,2
-52.71,94.32,-25.39,D,2
15.54,-80.58,36.81,B,1
-95.64,32.58,39.71,C,2
32.92,39.72,-77.58,B,5
95.35,-56.77,33.87,E,3
-99.42,-70.52,-76.47,C,3
-97.65,-65.78,-57.88,E,2
0.03,66.39,45.57,E,5
-27.73,-79.42,6.6,A,5
-79.37,16.32,-11.87,C,4
18.79,-56.83,-50.73,A,5
36.58,4.96,16.87,B,3
-29.05,23.26,26.72,D,4
-86.38,-62.47,23.86,B,1
-94.37,-6.39,42.99,D,3
99.87,-49.31,20.79,A,5
-28.99,74.26,-82.56,B,2
38.47,-85.33,31.73,C,5
23.87,21.21,-80.07,D,4
-80.79,37.95,85.82,E,1
-34.59,-58.72,-59.15,A,1
55.46,34.28,-97.22,E,1
-35.64,69.05,-62.71,C,2
60.62,-28.03,-97.98,B,3
34.75,39.91,-53.68,D,2
64.95,56.23,-29.86,E,5
-30.46,12.52,55.33,A,5
12.51,74.89,51.49,E,1
-91.65,-35.08,-74.98,A,2
-31.43,10.91,-90.93,E,1
46.12,-98.58,-67.81,E,4
-73.91,0.52,-56.47,A,3
26.19,-63.02,19.16,D,1
-11.28,71.62,-46.81,E,1
-62.32,87.37,66.12,D,2
-1.92,-74.64,9.0,C,3
-96.04,-40.7,25.86,B,3
-81.82,11.97,-61.42,E,4
-98.52,79.24,-62.36,C,4
-85.39,97.09,47.83,E,3
-68.26,-85.0,23.34,E,5
-43.65,-40.33,-60.92,B,1
41.09,-3.31,42.22,D,5
0.23,-49.16,16.11,A,3
-13.41,-24.19,-2.78,A,5
-87.39,-41.83,13.06,D,3
-43.56,64.59,-7.03,A,1
-47.31,35.67,86.31,B,4
-72.41,54.32,85.97,C,4
-46.97,1.69,83.68,E,3
-44.39,49.56,61.68,D,4
89.47,-79.95,93.38,C,3
-11.14,-79.96,15.38,C,3
-88.04,-61.88,-36.42,D,5
74.4,62.14,-92.62,C,4
-94.07,-85.86,81.36,A,3
-92.01,-8.24,-11.21,E,5
70.98,-45.11,25.53,A,5
-66.1,83.88,-37.76,C,1
-77.76,-16.71,1.94,B,4
-36.67,-80.33,-20.71,E,1
21.64,-12.05,84.91,D,2
45.87,-98.33,-95.05,B,1
-46.99,0.36,31.66,A,5
26.92,60.59,1.3,C,5
-79.01,-58.2,-45.05,B,5
-29.24,-28.01,83.87,B,3
85.99,16.47,54.35,D,3
21.62,-91.33,-26.28,C,2
-65.45,-8.85,58.5,A,5
